,school,district,county,enroll_12,num_takers_12,enroll_11,num_takers_11,benchmark_12,percent_12,benchmark_11,percent_11
0,Colusa Alternative Home,Colusa Unified,Colusa,18,0,18,0,0.0,0.0,0.0,0.0
1,Maxwell Sr High,Maxwell Unified,Colusa,29,10,26,6,7.0,7.0,7.0,7.0
2,Belmont Senior High,Los Angeles Unified,Los Angeles,206,102,219,174,14.0,13.73,11.0,6.32
3,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227,113,333,275,18.0,15.93,35.0,12.73
4,Whitman Continuation,Los Angeles Unified,Los Angeles,18,14,17,5,7.0,7.0,7.0,7.0
5,Foshay Learning Center,Los Angeles Unified,Los Angeles,166,106,187,183,36.0,33.96,44.0,24.04
6,Mission Viejo High,Saddleback Valley Unified,Orange,562,190,503,223,132.0,69.47,172.0,77.13
7,Abraham Lincoln Continuation,Riverside Unified,Riverside,114,17,83,0,2.0,11.76,0.0,0.0
8,Calipatria High,Calipatria Unified,Imperial,91,27,92,11,5.0,18.52,7.0,7.0
9,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85,68,79,79,6.0,8.82,6.0,7.59
10,Corona High,Corona-Norco Unified,Riverside,581,204,572,168,82.0,40.2,78.0,46.43
11,Mojave River Academy,Oro Grande,San Bernardino,7,1,3,0,7.0,7.0,0.0,0.0
12,Abraham Lincoln Alternative,Southern Kern Unified,Kern,18,0,27,0,0.0,0.0,0.0,0.0
13,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145,68,163,122,29.0,42.65,36.0,29.51
14,Central High,Los Angeles Unified,Los Angeles,104,4,156,18,7.0,7.0,1.0,5.56
15,Palo Verde High,Palo Verde Unified,Riverside,174,38,207,56,12.0,31.58,19.0,33.93
16,Lucerne Valley High,Lucerne Valley Unified,San Bernardino,36,7,57,8,7.0,7.0,7.0,7.0
17,Apple Valley High,Apple Valley Unified,San Bernardino,551,186,509,226,67.0,36.02,86.0,38.05
18,The O'Farrell Charter,San Diego Unified,San Diego,125,64,127,114,28.0,43.75,47.0,41.23
19,Enterprise Alternative,Clovis Unified,Fresno,18,0,15,0,0.0,0.0,0.0,0.0
20,Clovis East High,Clovis Unified,Fresno,584,237,635,191,94.0,39.66,128.0,67.02
21,Rivercrest Preparatory,Jurupa Unified,Riverside,31,1,33,2,7.0,7.0,7.0,7.0
22,Cesar Chavez High,Stockton Unified,San Joaquin,521,192,546,108,39.0,20.31,41.0,37.96
23,University High School Charter,Los Angeles Unified,Los Angeles,336,193,307,315,76.0,39.38,110.0,34.92
24,City of Angels,Los Angeles Unified,Los Angeles,292,23,352,83,7.0,30.43,16.0,19.28
25,New West Charter,SBE - New West Charter,Los Angeles,90,47,91,41,32.0,68.09,32.0,78.05
26,Mark Keppel High,Alhambra Unified,Los Angeles,579,269,560,285,215.0,79.93,250.0,87.72
27,Nevada Union High,Nevada Joint Union High,Nevada,353,89,380,89,62.0,69.66,77.0,86.52
28,University High,Irvine Unified,Orange,633,205,551,268,179.0,87.32,259.0,96.64
29,Westmoor High,Jefferson Union High,San Mateo,395,344,383,74,153.0,44.48,69.0,93.24
30,Pinole Valley High,West Contra Costa Unified,Contra Costa,266,249,291,54,58.0,23.29,31.0,57.41
31,South Fork Junior - Senior High,Southern Humboldt Joint Unified,Humboldt,50,13,42,13,7.0,7.0,7.0,7.0
32,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668,166,686,637,46.0,27.71,107.0,16.8
33,Antelope Valley High,Antelope Valley Union High,Los Angeles,454,83,377,299,8.0,9.64,20.0,6.69
34,Paramount High,Paramount Unified,Los Angeles,1135,932,1196,1058,158.0,16.95,165.0,15.6
35,Rocklin Independent Charter Academy,Rocklin Unified,Placer,42,2,36,14,7.0,7.0,7.0,7.0
36,Diego Valley East Public Charter,Julian Union Elementary,San Diego,78,0,183,1,0.0,0.0,7.0,7.0
37,Mills High,San Mateo Union High,San Mateo,299,147,309,157,126.0,85.71,140.0,89.17
38,South San Francisco High,South San Francisco Unified,San Mateo,292,86,336,56,51.0,59.3,40.0,71.43
39,Granada High,Livermore Valley Joint Unified,Alameda,567,178,565,208,132.0,74.16,188.0,90.38
40,Princeton Junior-Senior High,Princeton Joint Unified,Glenn,15,3,15,2,7.0,7.0,7.0,7.0
41,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41,17,38,17,6.0,35.29,5.0,29.41
42,Road to Success Academy at Campus Kilpatrick,Los Angeles County Office of Education,Los Angeles,20,1,16,0,7.0,7.0,0.0,0.0
43,Las Flores High (Alternative),Elk Grove Unified,Sacramento,64,0,33,1,0.0,0.0,7.0,7.0
44,Lowell High,San Francisco Unified,San Francisco,678,423,711,565,385.0,91.02,543.0,96.11
45,Civicorps Corpsmember Academy,Oakland Unified,Alameda,60,0,0,0,0.0,0.0,0.0,0.0
46,Rudsdale Continuation,Oakland Unified,Alameda,139,1,86,0,7.0,7.0,0.0,0.0
47,Tamalpais High,Tamalpais Union High,Marin,376,149,391,176,119.0,79.87,160.0,90.91
48,River Springs Charter,Riverside County Office of Education,Riverside,213,33,267,17,22.0,66.67,9.0,52.94
49,Paseo Grande Charter,Robla Elementary,Sacramento,15,1,6,0,7.0,7.0,0.0,0.0
50,San Diego Business/Leadership,San Diego Unified,San Diego,100,18,139,17,1.0,5.56,3.0,17.65
51,Kearny Digital Media & Design,San Diego Unified,San Diego,86,25,100,39,11.0,44.0,23.0,58.97
52,Venture Academy,San Joaquin County Office of Education,San Joaquin,266,77,242,34,18.0,23.38,14.0,41.18
53,Maple High,Lompoc Unified,Santa Barbara,26,0,51,7,0.0,0.0,7.0,7.0
54,Heritage High,Liberty Union High,Contra Costa,574,244,590,222,156.0,63.93,174.0,78.38
55,Tranquillity High,Golden Plains Unified,Fresno,120,27,105,104,0.0,0.0,1.0,0.96
56,Sierra High,Sierra Unified,Fresno,91,28,81,23,15.0,53.57,14.0,60.87
57,Magnolia Science Academy Santa Ana,SBE - Magnolia Science Academy Santa Ana,Orange,34,14,30,27,7.0,7.0,11.0,40.74
58,Lakeside High,Lake Elsinore Unified,Riverside,387,112,421,140,36.0,32.14,54.0,38.57
59,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695,556,691,623,352.0,63.31,339.0,54.41
60,Buena Vista Continuation High,Chino Valley Unified,San Bernardino,118,79,41,39,0.0,0.0,0.0,0.0
61,Chino High,Chino Valley Unified,San Bernardino,432,354,462,383,77.0,21.75,87.0,22.72
62,Independence Continuation,El Dorado Union High,El Dorado,65,2,34,0,7.0,7.0,0.0,0.0
63,Claremont High,Claremont Unified,Los Angeles,591,263,565,314,175.0,66.54,261.0,83.12
64,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85,31,113,100,1.0,3.23,8.0,8.0
65,Los Banos High,Los Banos Unified,Merced,303,95,304,80,34.0,35.79,27.0,33.75
66,Options for Youth-San Bernardino,San Bernardino City Unified,San Bernardino,52,17,168,13,5.0,29.41,7.0,7.0
67,Arroyo Valley High,San Bernardino City Unified,San Bernardino,565,202,631,554,46.0,22.77,85.0,15.34
68,Middle College High,San Bernardino City Unified,San Bernardino,67,50,70,67,23.0,46.0,41.0,61.19
69,City Heights Preparatory Charter,San Diego Unified,San Diego,4,4,4,6,7.0,7.0,7.0,7.0
70,Bear Creek High,Lodi Unified,San Joaquin,450,173,540,114,100.0,57.8,82.0,71.93
71,Northern United - Siskiyou Charter,Siskiyou County Office of Education,Siskiyou,20,0,17,0,0.0,0.0,0.0,0.0
72,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87,29,100,89,5.0,17.24,15.0,16.85
73,Torrance High,Torrance Unified,Los Angeles,509,218,446,174,127.0,58.26,126.0,72.41
74,El Capitan High,Merced Union High,Merced,373,142,388,106,44.0,30.99,57.0,53.77
75,Merced High,Merced Union High,Merced,400,110,417,79,43.0,39.09,38.0,48.1
76,El Camino Fundamental High,San Juan Unified,Sacramento,321,119,352,120,74.0,62.18,72.0,60.0
77,Twain High,San Diego Unified,San Diego,196,4,108,0,7.0,7.0,0.0,0.0
78,Point Loma High,San Diego Unified,San Diego,456,191,480,238,132.0,69.11,174.0,73.11
79,East High (Continuation),Fortuna Union High,Humboldt,44,0,16,1,0.0,0.0,7.0,7.0
80,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123,123,132,127,26.0,21.14,48.0,37.8
81,Port of Los Angeles High,Los Angeles Unified,Los Angeles,202,80,241,77,48.0,60.0,59.0,76.62
82,Chowchilla Union High,Chowchilla Union High,Madera,262,86,259,65,18.0,20.93,27.0,41.54
83,Sherman Thomas Charter High,Madera Unified,Madera,13,2,25,5,7.0,7.0,7.0,7.0
84,Mountain Vista High,Madera Unified,Madera,78,0,64,47,0.0,0.0,0.0,0.0
85,Colfax High,Placer Union High,Placer,125,51,142,41,28.0,54.9,34.0,82.93
86,Herbert Hoover High,Glendale Unified,Los Angeles,351,100,426,121,69.0,69.0,91.0,75.21
87,Compton High,Compton Unified,Los Angeles,354,65,407,320,9.0,13.85,28.0,8.75
88,Thurgood Marshall,Compton Unified,Los Angeles,57,0,15,0,0.0,0.0,0.0,0.0
89,Saddleback High,Santa Ana Unified,Orange,383,321,348,97,64.0,19.94,31.0,31.96
90,Heritage Peak Charter,Twin Rivers Unified,Sacramento,107,8,96,1,7.0,7.0,7.0,7.0
91,Hesperia High,Hesperia Unified,San Bernardino,445,108,491,252,16.0,14.81,70.0,27.78
92,La Costa Canyon High,San Dieguito Union High,San Diego,523,183,481,237,145.0,79.23,209.0,88.19
93,California STEAM Sonoma II,Guerneville Elementary,Sonoma,59,1,62,1,7.0,7.0,7.0,7.0
94,Pathways Charter,Harmony Union Elementary,Sonoma,64,3,52,1,7.0,7.0,7.0,7.0
95,Etna Union High,Scott Valley Unified,Siskiyou,43,16,49,22,6.0,37.5,16.0,72.73
96,Southern Trinity High,Southern Trinity Joint Unified,Trinity,4,2,3,1,7.0,7.0,7.0,7.0
97,California Connections Academy@Central,Alpaugh Unified,Tulare,56,7,62,1,7.0,7.0,7.0,7.0
98,Alameda Community Learning Center,Alameda Unified,Alameda,31,21,54,30,10.0,47.62,25.0,83.33
99,Stockdale High,Kern High,Kern,550,242,573,247,143.0,59.09,181.0,73.28
100,Boyle Heights STEM High,Los Angeles Unified,Los Angeles,42,14,50,50,7.0,7.0,7.0,14.0
101,La Serna High,Whittier Union High,Los Angeles,609,296,619,195,179.0,60.47,137.0,70.26
102,Santa Clarita Valley International,William S. Hart Union High,Los Angeles,75,15,70,11,3.0,20.0,7.0,7.0
103,La Entrada High,Placentia-Yorba Linda Unified,Orange,24,1,31,0,7.0,7.0,0.0,0.0
104,Goodwill Independent Study,Victor Valley Union High,San Bernardino,50,0,32,0,0.0,0.0,0.0,0.0
105,Goodwill High,Victor Valley Union High,San Bernardino,72,2,33,8,7.0,7.0,7.0,7.0
106,Silverado High,Victor Valley Union High,San Bernardino,546,114,579,517,22.0,19.3,50.0,9.67
107,Stagg Senior High,Stockton Unified,San Joaquin,368,73,370,36,15.0,20.55,12.0,33.33
108,Summit Public School: Rainier,East Side Union High,Santa Clara,105,49,78,67,22.0,44.9,26.0,38.81
109,Mountain House High,Lammersville Joint Unified,San Joaquin,283,132,333,158,80.0,60.61,118.0,74.68
110,Farmersville High,Farmersville Unified,Tulare,170,60,157,60,6.0,10.0,5.0,8.33
111,Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,83,68,72,35,16.0,23.53,18.0,51.43
112,Fairfield High,Fairfield-Suisun Unified,Solano,304,60,315,39,14.0,23.33,22.0,56.41
113,Tulare Union High,Tulare Joint Union High,Tulare,382,130,412,102,58.0,44.62,63.0,61.76
114,Dimensions Collaborative,San Diego County Office of Education,San Diego,29,0,48,2,0.0,0.0,7.0,7.0
115,Chula Vista Senior High,Sweetwater Union High,San Diego,672,209,632,168,64.0,30.62,63.0,37.5
116,Eagle Canyon High,Templeton Unified,San Luis Obispo,5,1,5,0,7.0,7.0,0.0,0.0
117,Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,544,204,511,353,182.0,89.22,335.0,94.9
118,Albany High,Albany City Unified,Alameda,296,114,261,147,96.0,84.21,141.0,95.92
119,Kings River High (Continuation),Sanger Unified,Fresno,52,3,38,0,7.0,7.0,0.0,0.0
120,Bitney Prep High,Nevada County Office of Education,Nevada,27,10,20,3,7.0,7.0,7.0,7.0
121,Keyes to Learning Charter,Keyes Union,Stanislaus,25,0,20,0,0.0,0.0,0.0,0.0
122,Hueneme High,Oxnard Union High,Ventura,491,402,435,365,63.0,15.67,54.0,14.79
123,Modesto High,Modesto City High,Stanislaus,585,235,622,250,99.0,42.13,117.0,46.8
124,Santa Cruz High,Santa Cruz City High,Santa Cruz,268,112,275,158,84.0,75.0,136.0,86.08
125,Charter Community School Home Study Academy,El Dorado County Office of Education,El Dorado,111,12,114,13,7.0,7.0,7.0,7.0
126,Oak Knoll Alternative,Charter Oak Unified,Los Angeles,12,1,10,0,7.0,7.0,0.0,0.0
127,La Sierra High (Alternative),Fullerton Joint Union High,Orange,235,2,68,4,7.0,7.0,7.0,7.0
128,Sonora High,Fullerton Joint Union High,Orange,410,163,441,113,103.0,63.19,84.0,74.34
129,Garden Grove High,Garden Grove Unified,Orange,569,215,531,228,127.0,59.07,164.0,71.93
130,SAVA - Sacramento Academic and Vocational Academy - SCUSD,Sacramento City Unified,Sacramento,93,0,113,0,0.0,0.0,0.0,0.0
131,Hiram W. Johnson High,Sacramento City Unified,Sacramento,364,55,366,314,14.0,25.45,37.0,11.78
132,Poway High,Poway Unified,San Diego,533,186,576,299,148.0,79.57,254.0,84.95
133,Valiant Santa Barbara,Cuyama Joint Unified,Santa Barbara,6,1,5,0,7.0,7.0,0.0,0.0
134,Alta Vista Alternative High,Santa Barbara Unified,Santa Barbara,61,8,40,10,7.0,7.0,7.0,7.0
135,John H. Pitman High,Turlock Unified,Stanislaus,511,221,528,154,97.0,43.89,94.0,61.04
136,Taft Union High,Taft Union High,Kern,204,46,230,48,15.0,32.61,17.0,35.42
137,View Park Continuation,Los Angeles Unified,Los Angeles,39,3,17,19,7.0,7.0,0.0,0.0
138,Puente Hills High,Hacienda la Puente Unified,Los Angeles,77,0,10,1,0.0,0.0,7.0,7.0
139,Riverside Virtual,Riverside Unified,Riverside,14,5,17,2,7.0,7.0,7.0,7.0
140,Hallmark Charter,Sanger Unified,Fresno,40,12,43,8,7.0,7.0,7.0,7.0
141,Berenece Carlson Home Hospital,Los Angeles Unified,Los Angeles,91,1,46,0,7.0,7.0,0.0,0.0
142,Options for Youth San Gabriel,San Gabriel Unified,Los Angeles,153,38,192,28,9.0,23.68,9.0,32.14
143,iLEAD Online,Acton-Agua Dulce Unified,Los Angeles,13,2,13,4,7.0,7.0,7.0,7.0
144,Mission San Jose High,Fremont Unified,Alameda,490,149,484,380,142.0,95.3,378.0,99.47
145,Liberty High,Liberty Union High,Contra Costa,610,203,683,212,109.0,53.69,145.0,68.4
146,Mendota High,Mendota Unified,Fresno,223,69,187,76,9.0,13.04,21.0,27.63
147,Herlong High,Fort Sage Unified,Lassen,15,0,10,0,0.0,0.0,0.0,0.0
148,Los Alamitos High,Los Alamitos Unified,Orange,758,319,760,358,227.0,71.16,289.0,80.73
149,Temescal Canyon High,Lake Elsinore Unified,Riverside,496,238,490,132,102.0,42.86,94.0,71.21
150,Don Antonio Lugo High,Chino Valley Unified,San Bernardino,432,282,367,295,66.0,23.4,66.0,22.37
151,Pittsburg Senior High,Pittsburg Unified,Contra Costa,716,277,882,262,89.0,32.13,102.0,38.93
152,Laurel Tree Charter,Northern Humboldt Union High,Humboldt,10,3,8,1,7.0,7.0,7.0,7.0
153,Anaheim High,Anaheim Union High,Orange,722,137,804,102,48.0,35.04,53.0,51.96
154,Rancho Verde High,Val Verde Unified,Riverside,505,471,512,478,94.0,19.96,104.0,21.76
155,Jurupa Hills High,Fontana Unified,San Bernardino,466,138,491,422,41.0,29.71,102.0,24.17
156,LPS Oakland R & D Campus,Oakland Unified,Alameda,111,42,108,34,7.0,16.67,3.0,8.82
157,Imperial Pathways Charter,Imperial County Office of Education,Imperial,148,0,0,0,0.0,0.0,0.0,0.0
158,Los Angeles Academy of Arts and Enterprise,Los Angeles Unified,Los Angeles,47,36,43,30,5.0,13.89,4.0,13.33
159,Blair High,Pasadena Unified,Los Angeles,156,64,118,22,27.0,42.19,13.0,59.09
160,Pasadena High,Pasadena Unified,Los Angeles,414,202,402,126,95.0,47.03,82.0,65.08
161,Riverside County Education Academy - Indio,Riverside County Office of Education,Riverside,20,1,26,19,7.0,7.0,0.0,0.0
162,Redlands East Valley High,Redlands Unified,San Bernardino,545,376,503,426,194.0,51.6,219.0,51.41
163,Grove,Redlands Unified,San Bernardino,31,19,32,15,13.0,68.42,10.0,66.67
164,Ramona High,Ramona City Unified,San Diego,352,113,361,92,66.0,58.41,68.0,73.91
165,Vista High (Alternative),West Contra Costa Unified,Contra Costa,170,26,43,1,3.0,11.54,7.0,7.0
166,John F. Kennedy High,West Contra Costa Unified,Contra Costa,197,129,269,14,2.0,1.55,7.0,7.0
167,Palos Verdes Peninsula High,Palos Verdes Peninsula Unified,Los Angeles,609,260,512,273,225.0,86.54,250.0,91.58
168,San Marin High,Novato Unified,Marin,266,110,265,130,78.0,70.91,105.0,80.77
169,Twentynine Palms High,Morongo Unified,San Bernardino,172,29,191,46,13.0,44.83,28.0,60.87
170,KIPP San Francisco College Preparatory,San Francisco Unified,San Francisco,53,23,87,24,7.0,30.43,10.0,41.67
171,Crescent View West Public Charter,Fresno County Office of Education,Fresno,140,7,450,0,7.0,7.0,0.0,0.0
172,Clovis West High,Clovis Unified,Fresno,486,173,491,197,121.0,69.94,132.0,67.01
173,Downey High,Downey Unified,Los Angeles,1050,396,973,874,184.0,46.46,263.0,30.09
174,Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,129,40,127,131,7.0,17.5,18.0,13.74
175,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,128,52,115,60,7.0,13.46,4.0,6.67
176,Livingston High,Merced Union High,Merced,291,91,325,82,30.0,32.97,28.0,34.15
177,Hamilton High,Hemet Unified,Riverside,54,52,70,0,11.0,21.15,0.0,0.0
178,Alessandro High,Hemet Unified,Riverside,221,1,108,0,7.0,7.0,0.0,0.0
179,Charter School of San Diego,San Diego Unified,San Diego,499,23,181,20,10.0,43.48,11.0,55.0
180,Weston Ranch High,Manteca Unified,San Joaquin,285,104,291,38,35.0,33.65,19.0,50.0
181,Bret Harte Union High,Bret Harte Union High,Calaveras,152,46,141,35,29.0,63.04,29.0,82.86
182,Pierce High,Pierce Joint Unified,Colusa,103,21,103,38,3.0,14.29,17.0,44.74
183,North Monterey County High,North Monterey County Unified,Monterey,297,110,282,68,30.0,27.27,24.0,35.29
184,Literacy First Charter,San Diego County Office of Education,San Diego,80,0,78,0,0.0,0.0,0.0,0.0
185,Morro Bay High,San Luis Coastal Unified,San Luis Obispo,197,49,181,51,37.0,75.51,42.0,82.35
186,Intellectual Virtues Academy,Los Angeles County Office of Education,Los Angeles,0,0,39,12,0.0,0.0,7.0,7.0
187,Minarets High,Chawanakee Unified,Madera,36,20,42,20,7.0,35.0,5.0,25.0
188,Yosemite Falls Education Center,Yosemite Unified,Madera,10,1,3,1,7.0,7.0,7.0,7.0
189,Adelante High (Continuation),Roseville Joint Union High,Placer,67,1,34,0,7.0,7.0,0.0,0.0
190,Sheldon High,Elk Grove Unified,Sacramento,614,217,633,226,111.0,51.15,138.0,61.06
191,Independence Charter Academy,Helendale Elementary,San Bernardino,27,0,17,1,0.0,0.0,7.0,7.0
192,Orange Glen High,Escondido Union High,San Diego,497,127,438,124,38.0,29.92,47.0,37.9
193,Steele Canyon High,Grossmont Union High,San Diego,511,219,519,215,142.0,64.84,148.0,68.84
194,Grossmont Middle College High,Grossmont Union High,San Diego,35,14,24,22,7.0,7.0,20.0,90.91
195,Trivium Charter,Blochman Union Elementary,Santa Barbara,24,4,19,1,7.0,7.0,7.0,7.0
196,Fountain Valley High,Huntington Beach Union High,Orange,805,335,894,361,270.0,80.6,329.0,91.14
197,Indio High,Desert Sands Unified,Riverside,517,174,469,377,23.0,13.22,46.0,12.2
198,Buchanan High,Clovis Unified,Fresno,667,299,650,249,189.0,63.21,192.0,77.11
199,California Virtual Academy @ Los Angeles,West Covina Unified,Los Angeles,329,22,371,24,7.0,31.82,13.0,54.17
200,Tulelake High,Tulelake Basin Joint Unified,Modoc,25,3,29,6,7.0,7.0,7.0,7.0
201,Delta Charter Online,New Jerusalem Elementary,San Joaquin,32,6,1,2,7.0,7.0,7.0,7.0
202,Leigh High,Campbell Union High,Santa Clara,415,165,425,253,127.0,76.97,216.0,85.38
203,Visalia Charter Independent Study,Visalia Unified,Tulare,232,11,162,7,7.0,7.0,7.0,7.0
204,Compass Charter Schools of San Diego,Mountain Empire Unified,San Diego,32,3,26,1,7.0,7.0,7.0,7.0
205,Ark Independent Studies,Santa Cruz City High,Santa Cruz,30,2,18,0,7.0,7.0,0.0,0.0
206,Winters High,Winters Joint Unified,Yolo,102,31,117,25,16.0,51.61,14.0,56.0
207,Los Molinos High,Los Molinos Unified,Tehama,37,14,59,7,7.0,7.0,7.0,7.0
208,Trinity High,Trinity Alps Unified,Trinity,91,10,77,29,7.0,7.0,18.0,62.07
209,Durham High,Durham Unified,Butte,72,31,74,42,21.0,67.74,30.0,71.43
210,J. E. Young Academic Center,Fresno Unified,Fresno,109,4,109,20,7.0,7.0,1.0,5.0
211,TEACH Tech Charter High,Los Angeles Unified,Los Angeles,70,46,78,54,6.0,13.04,2.0,3.7
212,Canyon Springs High,Moreno Valley Unified,Riverside,494,439,508,123,75.0,17.08,51.0,41.46
213,KIPP San Jose Collegiate,East Side Union High,Santa Clara,112,46,118,104,26.0,56.52,61.0,58.65
214,Luis Valdez Leadership Academy,East Side Union High,Santa Clara,102,34,75,51,3.0,8.82,15.0,29.41
215,San Jose Conservation Corps Charter,East Side Union High,Santa Clara,214,0,0,0,0.0,0.0,0.0,0.0
216,Evergreen Valley High,East Side Union High,Santa Clara,712,344,717,642,287.0,83.43,510.0,79.44
217,Redwood High,Visalia Unified,Tulare,494,142,498,117,77.0,54.23,88.0,75.21
218,Boron Junior-Senior High,Muroc Joint Unified,Kern,39,2,28,4,7.0,7.0,7.0,7.0
219,Collegiate Charter High of Los Angeles,Los Angeles Unified,Los Angeles,34,34,40,37,14.0,41.18,12.0,32.43
220,Valley High,Santa Ana Unified,Orange,466,407,551,171,39.0,9.58,56.0,32.75
221,Community Collaborative Charter,Twin Rivers Unified,Sacramento,154,10,61,3,7.0,7.0,7.0,7.0
222,Vista Nueva Career and Technology High,Twin Rivers Unified,Sacramento,107,45,51,2,1.0,2.22,7.0,7.0
223,Torrey Pines High,San Dieguito Union High,San Diego,627,175,616,300,151.0,86.29,277.0,92.33
224,Templeton High,Templeton Unified,San Luis Obispo,171,52,187,67,32.0,61.54,56.0,83.58
225,Northwest Prep Charter,Piner-Olivet Union Elementary,Sonoma,17,0,19,2,0.0,0.0,7.0,7.0
226,Tioga High,Big Oak Flat-Groveland Unified,Tuolumne,14,8,14,3,7.0,7.0,7.0,7.0
227,Montgomery Senior High,Sweetwater Union High,San Diego,452,121,483,102,39.0,32.23,42.0,41.18
228,Mission Vista High,Vista Unified,San Diego,391,182,397,196,124.0,68.13,172.0,87.76
229,Guajome Learning Center,Vista Unified,San Diego,16,1,12,1,7.0,7.0,7.0,7.0
230,Sonoma Valley High,Sonoma Valley Unified,Sonoma,279,91,330,123,50.0,54.95,67.0,54.47
231,Jordan High,Long Beach Unified,Los Angeles,606,463,631,486,44.0,9.5,50.0,10.29
232,Vista High,Lynwood Unified,Los Angeles,136,1,25,21,7.0,7.0,0.0,0.0
233,Mira Costa High,Manhattan Beach Unified,Los Angeles,594,205,684,292,179.0,87.32,283.0,96.92
234,Murrieta Mesa High,Murrieta Valley Unified,Riverside,574,225,595,255,120.0,53.33,150.0,58.82
235,Foothills High,San Marcos Unified,San Diego,84,1,16,0,7.0,7.0,0.0,0.0
236,Gunderson High,San Jose Unified,Santa Clara,246,49,243,208,31.0,63.27,43.0,20.67
237,Ventura High,Ventura Unified,Ventura,480,119,482,161,76.0,63.87,117.0,72.67
238,Burton (Phillip and Sala) Academic High,San Francisco Unified,San Francisco,248,140,241,105,41.0,29.29,60.0,57.14
239,Open Valley Independent Study,Patterson Joint Unified,Stanislaus,23,0,21,0,0.0,0.0,0.0,0.0
240,Burroughs High,Burbank Unified,Los Angeles,584,291,598,193,195.0,67.01,175.0,90.67
241,21st Century Learning Institute,Beaumont Unified,Riverside,18,2,34,0,7.0,7.0,0.0,0.0
242,Yuba City Charter,Yuba City Unified,Sutter,9,2,24,0,7.0,7.0,0.0,0.0
243,Connecting Waters Charter - East Bay,Alameda County Office of Education,Alameda,9,6,16,3,7.0,7.0,7.0,7.0
244,Island High (Continuation),Alameda Unified,Alameda,68,1,26,0,7.0,7.0,0.0,0.0
245,Inspire School of Arts and Sciences,Chico Unified,Butte,94,22,105,20,17.0,77.27,19.0,95.0
246,Pivot Charter School North Valley II,Chico Unified,Butte,25,2,22,0,7.0,7.0,0.0,0.0
247,Oakdale,Chico Unified,Butte,43,0,23,0,0.0,0.0,0.0,0.0
248,Ipakanni Early College Charter,Feather Falls Union Elementary,Butte,16,6,4,1,7.0,7.0,7.0,7.0
249,Design Science Middle College High,Fresno Unified,Fresno,63,60,68,67,32.0,53.33,51.0,76.12
250,Kern Workforce 2000 Academy,Kern High,Kern,257,0,199,0,0.0,0.0,0.0,0.0
251,South High,Kern High,Kern,508,152,510,119,37.0,24.34,49.0,41.18
252,West High,Kern High,Kern,537,122,433,66,31.0,25.41,27.0,40.91
253,Arena High (Continuation),El Segundo Unified,Los Angeles,20,2,15,0,7.0,7.0,0.0,0.0
254,Vaughn Next Century Learning Center,Los Angeles Unified,Los Angeles,157,102,172,53,22.0,21.57,25.0,47.17
255,Saugus High,William S. Hart Union High,Los Angeles,546,202,605,246,139.0,68.81,212.0,86.18
256,Academy of the Canyons,William S. Hart Union High,Los Angeles,104,51,105,88,43.0,84.31,81.0,92.05
257,Millennium Charter High,Monterey County Office of Education,Monterey,32,3,40,1,7.0,7.0,7.0,7.0
258,Uplift Monterey,Bradley Union Elementary,Monterey,17,1,22,0,7.0,7.0,0.0,0.0
259,Decoto School for Independent Study,New Haven Unified,Alameda,52,1,32,1,7.0,7.0,7.0,7.0
260,Lighthouse Community Charter High,Oakland Unified,Alameda,64,43,70,17,13.0,30.23,9.0,52.94
261,Central Union High,Central Union High,Imperial,403,91,435,49,38.0,41.76,31.0,63.27
262,Magnolia Science Academy 4,Los Angeles Unified,Los Angeles,43,25,24,10,3.0,12.0,7.0,7.0
263,Sun Valley High,Los Angeles Unified,Los Angeles,85,54,91,99,0.0,0.0,6.0,6.06
264,Leggett Valley High,Leggett Valley Unified,Mendocino,5,4,4,4,7.0,7.0,7.0,7.0
265,Corona-Norco Alternative,Corona-Norco Unified,Riverside,65,0,50,0,0.0,0.0,0.0,0.0
266,Kinney High (Continuation),Folsom-Cordova Unified,Sacramento,70,1,39,0,7.0,7.0,0.0,0.0
267,Deer Valley High,Antioch Unified,Contra Costa,533,118,452,67,59.0,50.0,46.0,68.66
268,Vista Oaks Charter,Byron Union Elementary,Contra Costa,104,5,72,5,7.0,7.0,7.0,7.0
269,Inspire Charter School - Central,Westside Elementary,Fresno,30,3,53,6,7.0,7.0,7.0,7.0
270,Kelseyville High,Kelseyville Unified,Lake,124,45,125,36,14.0,31.11,12.0,33.33
271,Lower Lake High,Konocti Unified,Lake,121,33,184,23,7.0,21.21,9.0,39.13
