,school,district,county,enroll_12,num_takers_12,enroll_11,num_takers_11,benchmark_12,percent_12,benchmark_11,percent_11
1641,Fairvalley High (Continuation),Covina-Valley Unified,Los Angeles,64,44,39,46,0.0,0.0,0.0,0.0
1642,Covina High,Covina-Valley Unified,Los Angeles,270,260,285,266,59.0,22.69,66.0,24.81
1643,Hilmar High,Hilmar Unified,Merced,154,46,178,66,16.0,34.78,32.0,48.48
1644,Marina High,Huntington Beach Union High,Orange,622,196,577,207,148.0,75.51,176.0,85.02
1645,Westminster High,Huntington Beach Union High,Orange,628,231,750,335,136.0,58.87,222.0,66.27
1646,San Andreas High,San Bernardino City Unified,San Bernardino,273,7,166,1,7.0,7.0,7.0,7.0
1647,Summit Public School: Tahoma,Santa Clara County Office of Education,Santa Clara,96,54,91,78,27.0,50.0,33.0,42.31
1648,Phoenix Continuation,Los Angeles Unified,Los Angeles,7,1,29,27,7.0,7.0,1.0,3.7
1649,Dan M. Issacs Avalon High,Los Angeles Unified,Los Angeles,25,6,33,8,7.0,7.0,7.0,7.0
1650,Pacific Valley (K-12),Big Sur Unified,Monterey,0,0,3,1,0.0,0.0,7.0,7.0
1651,Excelsior Charter,San Bernardino County Office of Education,San Bernardino,279,77,370,81,22.0,28.57,41.0,50.62
1652,Templeton Independent Study High,Templeton Unified,San Luis Obispo,26,1,21,2,7.0,7.0,7.0,7.0
1653,Horizons School: Independent Study,Mt. Diablo Unified,Contra Costa,54,4,39,2,7.0,7.0,7.0,7.0
1654,Da Vinci Communications,Wiseburn Unified,Los Angeles,94,37,72,68,5.0,13.51,14.0,20.59
1655,Chaffey High,Chaffey Joint Union High,San Bernardino,782,328,770,239,61.0,18.6,79.0,33.05
1656,Mueller Charter (Robert L.),Chula Vista Elementary,San Diego,86,38,125,120,10.0,26.32,23.0,19.17
1657,Ocean Shores High (Continuation),Oceanside Unified,San Diego,98,0,32,3,0.0,0.0,7.0,7.0
1658,Big Picture Educational Academy,Fresno County Office of Education,Fresno,21,2,13,3,7.0,7.0,7.0,7.0
1659,Culver City High,Culver City Unified,Los Angeles,526,222,508,244,118.0,53.15,173.0,70.9
1660,Yosemite High (Continuation),Merced Union High,Merced,208,0,64,1,0.0,0.0,7.0,7.0
1661,Tahquitz High,Hemet Unified,Riverside,386,282,383,51,53.0,18.79,13.0,25.49
1662,Serra High,San Diego Unified,San Diego,369,151,340,164,86.0,56.95,108.0,65.85
