,school,district,county,enroll_12,num_takers_12,avg_score_read,avg_score_eng,avg_score_math,avg_score_sci,num_above_benchmark,percent_above_benchmark
397,Cypress Charter High,Live Oak Elementary,Santa Cruz,30,0,0,0,0,0,0,0.0
398,Cypress High,Anaheim Union High,Orange,713,105,26,25,26,25,86,81.9
399,Da Vinci Charter Academy,Davis Joint Unified,Yolo,88,11,7,7,7,7,7,7.0
400,Da Vinci Communications,Wiseburn Unified,Los Angeles,94,44,17,16,17,17,5,11.36
401,Da Vinci Design,Wiseburn Unified,Los Angeles,164,33,19,20,18,18,10,30.3
402,Da Vinci RISE High,Los Angeles County Office of Education,Los Angeles,45,0,0,0,0,0,0,0.0
403,Da Vinci Science,Wiseburn Unified,Los Angeles,159,43,25,24,22,23,28,65.12
404,Dana Hills High,Capistrano Unified,Orange,669,213,27,27,26,26,193,90.61
405,Daniel Pearl Journalism & Communications Magnet,Los Angeles Unified,Los Angeles,71,23,24,24,22,22,14,60.87
406,David Starr Jordan Senior High,Los Angeles Unified,Los Angeles,87,16,18,16,17,18,5,31.25
407,Davis School for Independent Study,Davis Joint Unified,Yolo,22,1,7,7,7,7,7,7.0
408,Davis Senior High,Davis Joint Unified,Yolo,569,144,28,28,28,27,135,93.75
409,De Anza High,West Contra Costa Unified,Contra Costa,332,55,20,19,18,19,19,34.55
410,Decoto School for Independent Study,New Haven Unified,Alameda,52,0,0,0,0,0,0,0.0
411,Deer Valley High,Antioch Unified,Contra Costa,533,47,23,21,22,21,23,48.94
412,Dehesa Charter,Dehesa Elementary,San Diego,31,2,7,7,7,7,7,7.0
413,Del Campo High,San Juan Unified,Sacramento,371,36,22,22,21,20,18,50.0
414,Del Lago Academy - Campus of Applied Science,Escondido Union High,San Diego,178,65,22,21,21,22,37,56.92
415,Del Mar High,Campbell Union High,Santa Clara,290,67,21,20,19,21,29,43.28
416,Del Norte High,Del Norte County Unified,Del Norte,203,5,7,7,7,7,7,7.0
417,Del Norte High,Poway Unified,San Diego,515,211,28,28,27,27,186,88.15
418,Del Oro High,Placer Union High,Placer,410,110,25,24,24,24,86,78.18
419,Delano High,Delano Joint Union High,Kern,339,110,18,17,19,18,28,25.45
420,Delhi High,Delhi Unified,Merced,167,68,18,17,17,18,15,22.06
421,Delta Charter,Santa Cruz City High,Santa Cruz,66,1,7,7,7,7,7,7.0
422,Delta Charter,New Jerusalem Elementary,San Joaquin,71,3,7,7,7,7,7,7.0
423,Delta Charter Online,New Jerusalem Elementary,San Joaquin,32,0,0,0,0,0,0,0.0
424,Delta High,River Delta Joint Unified,Sacramento,50,5,7,7,7,7,7,7.0
425,Delta Keys Charter #2,New Jerusalem Elementary,San Joaquin,108,0,0,0,0,0,0,0.0
426,Denair Charter Academy,Denair Unified,Stanislaus,83,0,0,0,0,0,0,0.0
427,Denair High,Denair Unified,Stanislaus,60,3,7,7,7,7,7,7.0
428,Desert Hot Springs High,Palm Springs Unified,Riverside,417,46,17,16,16,18,3,6.52
429,Desert Junior-Senior High,Muroc Joint Unified,Kern,84,8,7,7,7,7,7,7.0
430,Desert Learning Academy,Palm Springs Unified,Riverside,37,0,0,0,0,0,0,0.0
431,Desert Mirage High,Coachella Valley Unified,Riverside,459,97,17,16,17,17,12,12.37
432,Desert Sands Charter,Antelope Valley Union High,Los Angeles,88,2,7,7,7,7,7,7.0
433,Design Science Middle College High,Fresno Unified,Fresno,63,58,21,20,21,20,23,39.66
434,Design Tech High,San Mateo Union High,San Mateo,120,33,29,29,26,28,29,87.88
435,Diamond Bar High,Walnut Valley Unified,Los Angeles,749,188,28,28,29,27,165,87.77
436,Diamond Ranch High,Pomona Unified,Los Angeles,377,82,23,22,21,22,47,57.32
437,Diamond Technology Institute,Pajaro Valley Unified,Santa Cruz,11,7,7,7,7,7,7,7.0
438,Diego Hills Central Public Charter,Dehesa Elementary,San Diego,106,0,0,0,0,0,0,0.0
439,Diego Rivera Learning Complex Green Design STEAM Academy,Los Angeles Unified,Los Angeles,103,6,7,7,7,7,7,7.0
440,Diego Valley East Public Charter,Julian Union Elementary,San Diego,78,0,0,0,0,0,0,0.0
441,Dimensions Collaborative,San Diego County Office of Education,San Diego,29,0,0,0,0,0,0,0.0
442,Dinuba High,Dinuba Unified,Tulare,423,96,18,16,17,19,18,18.75
443,Discovery Charter Preparatory School #2,Los Angeles Unified,Los Angeles,60,11,7,7,7,7,7,7.0
444,Discovery High,Natomas Unified,Sacramento,74,6,7,7,7,7,7,7.0
445,Dixon High,Dixon Unified,Solano,246,67,21,20,21,20,34,50.75
446,Dominguez High,Compton Unified,Los Angeles,391,268,15,14,16,15,13,4.85
447,Don Antonio Lugo High,Chino Valley Unified,San Bernardino,432,22,21,22,21,21,9,40.91
448,Don Pedro High,Big Oak Flat-Groveland Unified,Tuolumne,18,0,0,0,0,0,0,0.0
449,Dos Palos High,Dos Palos Oro Loma Joint Unified,Merced,159,2,7,7,7,7,7,7.0
450,Dos Pueblos Senior High,Santa Barbara Unified,Santa Barbara,486,155,25,25,25,24,107,69.03
451,Dougherty Valley High,San Ramon Valley Unified,Contra Costa,766,294,30,30,30,29,281,95.58
452,Downey High,Downey Unified,Los Angeles,1050,87,23,22,22,22,59,67.82
453,Downtown Business High,Los Angeles Unified,Los Angeles,203,102,22,21,22,22,61,59.8
454,Downtown College Prep - Alum Rock,Santa Clara County Office of Education,Santa Clara,61,38,17,16,17,17,7,18.42
455,Downtown College Preparatory,San Jose Unified,Santa Clara,85,57,16,15,16,17,5,8.77
456,Dozier-Libbey Medical High,Antioch Unified,Contra Costa,143,19,23,21,21,21,10,52.63
457,Dr. Maya Angelou Community High,Los Angeles Unified,Los Angeles,147,27,17,15,16,16,1,3.7
458,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,118,24,25,25,23,22,19,79.17
459,Dr. TJ Owens Gilroy Early College Academy,Gilroy Unified,Santa Clara,64,11,7,7,7,7,7,7.0
460,Duarte High,Duarte Unified,Los Angeles,199,28,20,20,18,19,10,35.71
461,Dublin High,Dublin Unified,Alameda,622,216,28,28,28,27,187,86.57
462,Dunlap Leadership Academy,Kings Canyon Joint Unified,Fresno,17,0,0,0,0,0,0,0.0
463,Dunsmuir High,Dunsmuir Joint Union High,Siskiyou,15,0,0,0,0,0,0,0.0
464,Durham High,Durham Unified,Butte,72,3,7,7,7,7,7,7.0
465,e3 Civic High,San Diego Unified,San Diego,81,4,7,7,7,7,7,7.0
466,Eagle Rock High,Los Angeles Unified,Los Angeles,420,38,25,25,23,23,25,65.79
467,Early College Academy-LA Trade Tech College,Los Angeles Unified,Los Angeles,33,0,0,0,0,0,0,0.0
468,Early College High,Newport-Mesa Unified,Orange,50,38,24,24,23,23,24,63.16
469,East Bakersfield High,Kern High,Kern,533,34,19,17,18,18,7,20.59
470,East Bay Arts High,San Lorenzo Unified,Alameda,42,1,7,7,7,7,7,7.0
471,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,Los Angeles Unified,Los Angeles,94,23,17,16,16,18,2,8.7
472,East Nicolaus High,East Nicolaus Joint Union High,Sutter,79,9,7,7,7,7,7,7.0
473,East Palo Alto Academy,Sequoia Union High,San Mateo,65,2,7,7,7,7,7,7.0
474,East Union High,Manteca Unified,San Joaquin,392,29,21,20,22,20,13,44.83
475,East Valley Senior High,Los Angeles Unified,Los Angeles,141,15,16,15,16,17,1,6.67
476,East Village High,San Diego Unified,San Diego,15,7,7,7,7,7,7,7.0
477,Eastlake High,Sweetwater Union High,San Diego,802,111,24,23,23,23,75,67.57
478,Eastside High,Antelope Valley Union High,Los Angeles,562,45,19,18,16,18,9,20.0
479,eCademy Charter at Crane,Turlock Unified,Stanislaus,28,0,0,0,0,0,0,0.0
480,Edgewood High,West Covina Unified,Los Angeles,192,8,7,7,7,7,7,7.0
481,Edison High,Huntington Beach Union High,Orange,669,125,25,25,24,25,101,80.8
482,Edison High,Stockton Unified,San Joaquin,525,25,19,17,18,18,7,28.0
483,Edison High,Fresno Unified,Fresno,560,67,23,21,21,21,36,53.73
484,Ednovate - East College Prep,Los Angeles Unified,Los Angeles,79,85,19,19,18,19,23,27.06
485,Ednovate - USC Hybrid High College Prep,Los Angeles Unified,Los Angeles,131,148,20,20,20,20,66,44.59
486,Educational Partnership High,Long Beach Unified,Los Angeles,563,1,7,7,7,7,7,7.0
487,EDUHSD Virtual Academy at Shenandoah,El Dorado Union High,El Dorado,31,1,7,7,7,7,7,7.0
488,Edward C. Merlo Institute of Environmental Studies,Stockton Unified,San Joaquin,36,5,7,7,7,7,7,7.0
489,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,233,20,18,17,18,19,7,35.0
490,Eisenhower Senior High,Rialto Unified,San Bernardino,524,63,18,16,18,18,15,23.81
491,El Cajon Valley High,Grossmont Union High,San Diego,553,94,19,18,20,20,36,38.3
492,El Camino Fundamental High,San Juan Unified,Sacramento,321,46,25,23,24,24,37,80.43
493,El Camino High,Ventura Unified,Ventura,83,9,7,7,7,7,7,7.0
494,El Camino High,South San Francisco Unified,San Mateo,315,21,24,24,24,22,17,80.95
495,El Camino High,Oceanside Unified,San Diego,795,125,20,20,21,21,63,50.4
496,El Camino Real Charter High,Los Angeles Unified,Los Angeles,904,122,25,26,25,24,101,82.79
497,El Camino Real Continuation High,Placentia-Yorba Linda Unified,Orange,93,1,7,7,7,7,7,7.0
498,El Capitan High,Grossmont Union High,San Diego,406,56,22,21,20,21,30,53.57
499,El Capitan High,Merced Union High,Merced,373,96,20,18,19,19,31,32.29
500,El Cerrito High,West Contra Costa Unified,Contra Costa,331,48,24,23,23,23,29,60.42
501,El Diamante High,Visalia Unified,Tulare,461,49,20,20,21,21,22,44.9
502,El Dorado High,El Dorado Union High,El Dorado,235,48,23,21,21,21,26,54.17
503,El Dorado High,Placentia-Yorba Linda Unified,Orange,462,71,25,24,25,24,57,80.28
504,El Modena High,Orange Unified,Orange,526,42,24,24,24,23,29,69.05
505,El Molino High,West Sonoma County Union High,Sonoma,131,22,24,22,22,23,13,59.09
506,El Monte High,El Monte Union High,Los Angeles,397,114,19,18,20,19,42,36.84
507,El Puente,Salinas Union High,Monterey,146,1,7,7,7,7,7,7.0
508,El Rancho High,El Rancho Unified,Los Angeles,592,218,19,18,19,19,62,28.44
509,El Segundo High,El Segundo Unified,Los Angeles,292,109,25,25,24,24,78,71.56
510,El Sereno Alternative Education,San Juan Unified,Sacramento,121,0,0,0,0,0,0,0.0
511,El Toro High,Saddleback Valley Unified,Orange,559,113,23,23,23,23,75,66.37
512,Eleanor Roosevelt Community Learning Center,Tulare County Office of Education,Tulare,5,1,7,7,7,7,7,7.0
513,Eleanor Roosevelt High,Corona-Norco Unified,Riverside,1083,190,23,21,22,22,111,58.42
514,Elise P. Buckingham Charter Magnet High,Vacaville Unified,Solano,121,9,7,7,7,7,7,7.0
515,Elite Academic Academy - Adult Work Force Investment,Lucerne Valley Unified,San Bernardino,70,0,0,0,0,0,0,0.0
516,Elite Academic Academy - Lucerne,Lucerne Valley Unified,San Bernardino,15,0,0,0,0,0,0,0.0
517,Elizabeth Learning Center,Los Angeles Unified,Los Angeles,129,5,7,7,7,7,7,7.0
518,Elk Grove Charter,Elk Grove Unified,Sacramento,79,0,0,0,0,0,0,0.0
519,Elk Grove High,Elk Grove Unified,Sacramento,475,97,24,22,23,22,62,63.92
520,Elm High,Washington Unified,Fresno,20,0,0,0,0,0,0,0.0
521,Elsie Allen High,Santa Rosa High,Sonoma,225,13,7,7,7,7,7,7.0
522,Elsinore High,Lake Elsinore Unified,Riverside,437,14,7,7,7,7,7,7.0
523,Elwood J. Keema High,Twin Rivers Unified,Sacramento,146,0,0,0,0,0,0,0.0
524,Emery Secondary,Emery Unified,Alameda,40,0,0,0,0,0,0,0.0
525,Empire Springs Charter,Helendale Elementary,San Bernardino,54,0,0,0,0,0,0,0.0
526,Empower Generations,Acton-Agua Dulce Unified,Los Angeles,19,0,0,0,0,0,0,0.0
527,Encina Preparatory High,San Juan Unified,Sacramento,149,7,7,7,7,7,7,7.0
528,Encinal Junior/Senior High,Alameda Unified,Alameda,233,44,26,26,25,24,36,81.82
529,Encore High School for the Arts - Riverside,Riverside Unified,Riverside,95,0,0,0,0,0,0,0.0
530,Encore Jr./Sr. High School for the Performing and Visual Arts,Hesperia Unified,San Bernardino,113,37,20,18,17,17,10,27.03
531,Endeavor Alternative,Ceres Unified,Stanislaus,80,0,0,0,0,0,0,0.0
532,Engineering and Technology Academy at Esteban E. Torres High No. 3,Los Angeles Unified,Los Angeles,72,2,7,7,7,7,7,7.0
533,Enterprise Alternative,Clovis Unified,Fresno,18,0,0,0,0,0,0,0.0
534,Enterprise High,Shasta Union High,Shasta,302,10,7,7,7,7,7,7.0
535,Environmental Charter High,Lawndale Elementary,Los Angeles,126,96,17,17,18,17,19,19.79
536,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,84,0,0,0,0,0,0,0.0
537,EPIC Charter (Excellence Performance Innovation Citizenship),Orange County Department of Education,Orange,19,0,0,0,0,0,0,0.0
538,EPIC de Cesar Chavez,Nevada County Office of Education,Nevada,440,0,0,0,0,0,0,0.0
539,Eric Birch High (Continuation),Fontana Unified,San Bernardino,142,113,13,11,14,13,0,0.0
540,Erma Duncan Polytechnical High,Fresno Unified,Fresno,210,2,7,7,7,7,7,7.0
541,Ernest Kimme Charter Academy for Independent Learning,Vacaville Unified,Solano,44,0,0,0,0,0,0,0.0
542,Ernest Righetti High,Santa Maria Joint Union High,Santa Barbara,536,58,21,20,22,21,29,50.0
543,Ernest S. McBride Sr. High,Long Beach Unified,Los Angeles,165,24,24,24,22,23,15,62.5
544,Escalon High,Escalon Unified,San Joaquin,188,16,21,19,21,22,10,62.5
545,Escondido Charter High,Escondido Union High,San Diego,210,27,24,23,25,24,20,74.07
546,Escondido High,Escondido Union High,San Diego,580,137,19,17,18,19,38,27.74
547,Escuela Popular/Center for Training and Careers Family Learning,East Side Union High,Santa Clara,63,0,0,0,0,0,0,0.0
548,Esparto High,Esparto Unified,Yolo,44,0,0,0,0,0,0,0.0
549,Esperanza High,Placentia-Yorba Linda Unified,Orange,355,83,24,23,23,23,57,68.67
550,Estancia High,Newport-Mesa Unified,Orange,325,22,20,20,19,20,7,31.82
551,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85,27,15,14,16,16,3,11.11
552,Etiwanda High,Chaffey Joint Union High,San Bernardino,851,84,21,21,22,22,48,57.14
553,Etna Union High,Scott Valley Unified,Siskiyou,43,27,20,20,21,21,11,40.74
554,Eunice Sato Academy of Math & Science,Long Beach Unified,Los Angeles,103,11,7,7,7,7,7,7.0
555,Eureka Senior High,Eureka City Schools,Humboldt,266,23,24,22,23,22,16,69.57
556,Everest Public High,Sequoia Union High,San Mateo,86,51,19,17,18,19,12,23.53
557,Everett Alvarez High,Salinas Union High,Monterey,607,122,19,18,18,18,34,27.87
558,Evergreen Valley High,East Side Union High,Santa Clara,712,122,29,29,29,28,114,93.44
559,Excelsior Charter,San Bernardino County Office of Education,San Bernardino,279,13,7,7,7,7,7,7.0
560,Excelsior Charter School Corona-Norco,Riverside County Office of Education,Riverside,15,0,0,0,0,0,0,0.0
561,Exeter Union High,Exeter Unified,Tulare,187,18,25,23,20,23,13,72.22
562,Fairfax Senior High,Los Angeles Unified,Los Angeles,361,36,21,21,21,20,12,33.33
563,Fairfield High,Fairfield-Suisun Unified,Solano,304,12,7,7,7,7,7,7.0
564,Fall River Junior-Senior High,Fall River Joint Unified,Shasta,35,12,7,7,7,7,7,7.0
565,Fallbrook High,Fallbrook Union High,San Diego,464,40,23,22,22,21,25,62.5
566,Family First Charter,Centinela Valley Union High,Los Angeles,92,1,7,7,7,7,7,7.0
567,Family Partnership Charter,Blochman Union Elementary,Santa Barbara,47,2,7,7,7,7,7,7.0
568,Farmersville High,Farmersville Unified,Tulare,170,46,18,16,17,17,8,17.39
569,Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,247,13,7,7,7,7,7,7.0
570,Ferndale High,Ferndale Unified,Humboldt,34,2,7,7,7,7,7,7.0
571,Fillmore Senior High,Fillmore Unified,Ventura,250,29,24,23,23,23,19,65.52
572,Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,167,31,16,15,16,17,3,9.68
573,Five Keys Independence HS (SF Sheriff's),San Francisco Unified,San Francisco,63,0,0,0,0,0,0,0.0
574,Florin High,Elk Grove Unified,Sacramento,322,94,19,18,20,19,30,31.91
575,Folsom High,Folsom-Cordova Unified,Sacramento,552,127,27,27,27,26,110,86.61
576,Fontana A. B. Miller High,Fontana Unified,San Bernardino,507,447,16,14,17,16,53,11.86
577,Fontana High,Fontana Unified,San Bernardino,538,496,15,13,16,16,42,8.47
578,Foothill High,Pleasanton Unified,Alameda,498,196,28,28,28,27,176,89.8
579,Foothill High,Kern High,Kern,471,15,20,18,21,19,6,40.0
580,Foothill High,Shasta Union High,Shasta,317,29,26,23,23,23,22,75.86
581,Foothill High,Tustin Unified,Orange,542,155,26,26,25,24,127,81.94
582,Foothill High,Twin Rivers Unified,Sacramento,251,10,7,7,7,7,7,7.0
583,Foothill Technology High,Ventura Unified,Ventura,222,61,24,23,22,23,34,55.74
584,Foothills High,San Marcos Unified,San Diego,84,0,0,0,0,0,0,0.0
585,Forest Charter,Nevada County Office of Education,Nevada,88,13,7,7,7,7,7,7.0
586,Foresthill High,Placer Union High,Placer,52,8,7,7,7,7,7,7.0
587,Fort Bragg High,Fort Bragg Unified,Mendocino,107,24,25,24,22,23,17,70.83
588,Fortuna Union High,Fortuna Union High,Humboldt,183,18,23,21,22,22,9,50.0
589,Foshay Learning Center,Los Angeles Unified,Los Angeles,166,56,19,18,19,18,19,33.93
590,Fountain Valley High,Huntington Beach Union High,Orange,805,102,27,26,26,26,87,85.29
591,Fowler High,Fowler Unified,Fresno,203,10,7,7,7,7,7,7.0
592,Francisco Bravo Medical Magnet High,Los Angeles Unified,Los Angeles,403,101,21,20,21,20,55,54.46
593,Franklin High,Stockton Unified,San Joaquin,449,57,20,19,20,20,21,36.84
594,Franklin High,Elk Grove Unified,Sacramento,595,69,26,25,25,23,57,82.61
595,Frazier Mountain High,El Tejon Unified,Kern,61,0,0,0,0,0,0,0.0
596,Fred C. Beyer High,Modesto City High,Stanislaus,397,63,25,25,24,24,47,74.6
597,Freedom High,Liberty Union High,Contra Costa,649,89,22,21,20,21,40,44.94
598,Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,90,19,19,17,18,18,6,31.58
599,Fremont High,Oakland Unified,Alameda,154,26,14,14,15,14,2,7.69
600,Fremont High,Fremont Union High,Santa Clara,508,82,27,27,27,26,66,80.49
601,Fresno High,Fresno Unified,Fresno,442,110,17,16,17,17,14,12.73
602,Frontier High,Kern High,Kern,576,50,25,23,24,22,38,76.0
603,Fullerton Union High,Fullerton Joint Union High,Orange,467,59,24,24,23,23,42,71.19
604,Furman (Duane E.) High (Independent Study Program),Madera Unified,Madera,92,0,0,0,0,0,0,0.0
605,Fusion Charter,Turlock Unified,Stanislaus,31,0,0,0,0,0,0,0.0
606,Future Bound Independent Study Secondary,Ramona City Unified,San Diego,15,0,0,0,0,0,0,0.0
607,Futures High,Twin Rivers Unified,Sacramento,71,0,0,0,0,0,0,0.0
608,Gabrielino High,San Gabriel Unified,Los Angeles,433,69,28,28,26,26,62,89.86
609,Gahr (Richard) High,ABC Unified,Los Angeles,418,41,21,21,22,22,25,60.98
610,Galileo High,San Francisco Unified,San Francisco,462,95,21,20,23,21,55,57.89
611,Galt High,Galt Joint Union High,Sacramento,215,26,19,16,19,19,6,23.08
612,Ganesha High,Pomona Unified,Los Angeles,207,67,17,16,17,17,11,16.42
613,Garden Grove High,Garden Grove Unified,Orange,569,77,24,24,22,23,55,71.43
614,Gardena Senior High,Los Angeles Unified,Los Angeles,279,24,18,17,17,17,3,12.5
615,Garey High,Pomona Unified,Los Angeles,399,23,17,17,18,18,4,17.39
616,Gateway College and Career Academy,Riverside County Office of Education,Riverside,151,0,0,0,0,0,0,0.0
617,Gateway High,San Francisco Unified,San Francisco,112,39,21,20,19,19,16,41.03
618,Gateway to College Academy,Petaluma Joint Union High,Sonoma,46,0,0,0,0,0,0,0.0
619,Gateway to College at Laney College,Oakland Unified,Alameda,65,0,0,0,0,0,0,0.0
620,George Washington Carver School of Arts and Science,Sacramento City Unified,Sacramento,50,1,7,7,7,7,7,7.0
621,George Washington Preparatory High,Los Angeles Unified,Los Angeles,197,4,7,7,7,7,7,7.0
622,Geyserville New Tech Academy,Geyserville Unified,Sonoma,10,1,7,7,7,7,7,7.0
623,Gilroy High,Gilroy Unified,Santa Clara,374,36,22,20,22,21,21,58.33
624,Glacier High School Charter,Yosemite Unified,Madera,27,4,7,7,7,7,7,7.0
625,Gladstone High,Azusa Unified,Los Angeles,266,24,21,21,21,22,13,54.17
626,Glen A. Wilson High,Hacienda la Puente Unified,Los Angeles,355,28,25,23,24,24,20,71.43
627,Glendale High,Glendale Unified,Los Angeles,547,42,23,22,23,23,29,69.05
628,Glendora High,Glendora Unified,Los Angeles,591,79,25,23,24,23,66,83.54
629,Gold Rush Charter,Summerville Union High,Tuolumne,56,0,0,0,0,0,0,0.0
630,Golden Eagle Charter,Siskiyou County Office of Education,Siskiyou,50,1,7,7,7,7,7,7.0
631,Golden Sierra Junior Senior High,Black Oak Mine Unified,El Dorado,76,6,7,7,7,7,7,7.0
632,Golden Valley Charter,Mesa Union Elementary,Ventura,18,1,7,7,7,7,7,7.0
633,Golden Valley High,Kern High,Kern,580,22,21,18,19,20,8,36.36
634,Golden Valley High,Merced Union High,Merced,397,45,18,16,18,18,10,22.22
635,Golden Valley High,William S. Hart Union High,Los Angeles,479,53,25,23,21,23,37,69.81
636,Golden West High,Visalia Unified,Tulare,383,38,21,19,20,21,17,44.74
637,Gompers Preparatory Academy,San Diego Unified,San Diego,125,114,16,15,17,16,12,10.53
638,Gonzales High,Gonzales Unified,Monterey,182,63,17,17,17,17,11,17.46
639,Goodwill Independent Study,Victor Valley Union High,San Bernardino,50,0,0,0,0,0,0,0.0
640,Gorman Learning Center,Gorman Joint,Los Angeles,113,10,7,7,7,7,7,7.0
641,Gorman Learning Center San Bernardino/Santa Clarita,Lucerne Valley Unified,San Bernardino,122,0,0,0,0,0,0,0.0
642,Grace M. Davis High,Modesto City High,Stanislaus,452,11,7,7,7,7,7,7.0
643,Granada High,Livermore Valley Joint Unified,Alameda,567,147,27,26,26,25,118,80.27
644,Granada Hills Charter High,Los Angeles Unified,Los Angeles,1120,204,25,25,24,24,154,75.49
645,Grand Terrace High School at the Ray Abril Jr. Educational Complex,Colton Joint Unified,San Bernardino,503,38,21,21,20,21,21,55.26
646,Granite Bay High,Roseville Joint Union High,Placer,513,201,26,26,26,25,175,87.06
647,Granite Hills High,Apple Valley Unified,San Bernardino,371,14,7,7,7,7,7,7.0
648,Granite Hills High,Grossmont Union High,San Diego,557,97,22,20,22,21,55,56.7
649,Granite Hills High,Porterville Unified,Tulare,302,41,17,16,17,18,5,12.2
650,Grant Union High,Twin Rivers Unified,Sacramento,394,49,20,18,18,18,17,34.69
651,Great Oak High,Temecula Valley Unified,Riverside,756,214,24,24,23,23,157,73.36
652,Greenfield High,South Monterey County Joint Union High,Monterey,268,53,17,15,16,16,5,9.43
653,Gridley High,Gridley Unified,Butte,158,15,22,22,24,22,9,60.0
654,Grizzly ChalleNGe Charter,San Luis Obispo County Office of Education,San Luis Obispo,141,0,0,0,0,0,0,0.0
655,Grossmont High,Grossmont Union High,San Diego,539,87,23,22,23,22,51,58.62
656,Grossmont Middle College High,Grossmont Union High,San Diego,35,12,7,7,7,7,7,7.0
657,Grossmont Secondary,SBE - Grossmont Secondary,San Diego,113,0,0,0,0,0,0,0.0
658,Grove,Redlands Unified,San Bernardino,31,3,7,7,7,7,7,7.0
659,Grover Cleveland Charter High,Los Angeles Unified,Los Angeles,651,110,26,26,24,24,88,80.0
660,Guajome Learning Center,Vista Unified,San Diego,16,0,0,0,0,0,0,0.0
661,Guajome Park Academy Charter,Vista Unified,San Diego,103,16,27,26,26,26,14,87.5
662,Gunderson High,San Jose Unified,Santa Clara,246,17,24,22,23,22,11,64.71
663,Gustine High,Gustine Unified,Merced,140,28,20,19,17,19,8,28.57
664,Half Moon Bay High,Cabrillo Unified,San Mateo,223,65,27,26,25,25,50,76.92
665,Hallmark Charter,Sanger Unified,Fresno,40,1,7,7,7,7,7,7.0
666,Hamilton High,Hamilton Unified,Glenn,86,30,18,18,18,19,7,23.33
667,Hamilton High,Hemet Unified,Riverside,54,3,7,7,7,7,7,7.0
668,Hanford High,Hanford Joint Union High,Kings,335,18,21,21,20,21,9,50.0
669,Hanford West High,Hanford Joint Union High,Kings,301,17,21,20,19,20,9,52.94
670,Happy Camp High,Siskiyou Union High,Siskiyou,22,13,7,7,7,7,7,7.0
671,Harbor High,Santa Cruz City High,Santa Cruz,179,45,20,19,21,20,17,37.78
672,Harmony Magnet Academy,Porterville Unified,Tulare,109,38,22,21,22,22,21,55.26
673,Harold McAlister High (Opportunity),Los Angeles Unified,Los Angeles,43,0,0,0,0,0,0,0.0
674,Hart-Ransom Academic Charter,Hart-Ransom Union Elementary,Stanislaus,18,6,7,7,7,7,7,7.0
675,Hawthorne High,Centinela Valley Union High,Los Angeles,498,124,18,17,17,17,20,16.13
676,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,112,112,20,20,21,19,49,43.75
677,Hayward High,Hayward Unified,Alameda,355,37,21,20,20,20,21,56.76
678,Healdsburg High,Healdsburg Unified,Sonoma,139,36,24,25,22,22,29,80.56
679,Health Careers Academy,Stockton Unified,San Joaquin,96,41,18,17,18,18,11,26.83
680,Health Sciences High,San Diego Unified,San Diego,141,1,7,7,7,7,7,7.0
681,Hearthstone School,Butte County Office of Education,Butte,47,0,0,0,0,0,0,0.0
682,Heartland Charter,Maricopa Unified,Kern,50,0,0,0,0,0,0,0.0
683,Hector G. Godinez,Santa Ana Unified,Orange,627,72,21,18,20,20,33,45.83
684,Helen Bernstein High,Los Angeles Unified,Los Angeles,124,34,15,14,16,15,4,11.76
685,Helen Hunt Jackson College Prep High,Hemet Unified,Riverside,102,0,0,0,0,0,0,0.0
686,Helix High,Grossmont Union High,San Diego,578,239,22,21,22,21,134,56.07
687,Hemet High,Hemet Unified,Riverside,573,18,25,22,21,20,13,72.22
688,Henry High,San Diego Unified,San Diego,506,138,24,24,25,24,104,75.36
689,Henry J. Kaiser High,Fontana Unified,San Bernardino,516,467,16,14,16,16,63,13.49
690,Henry M. Gunn High,Palo Alto Unified,Santa Clara,501,223,29,29,29,28,201,90.13
691,Herbert Hoover High,Fresno Unified,Fresno,360,31,17,15,17,17,4,12.9
692,Herbert Hoover High,Glendale Unified,Los Angeles,351,11,7,7,7,7,7,7.0
693,Hercules High,West Contra Costa Unified,Contra Costa,219,20,23,25,22,23,13,65.0
694,Heritage High,Perris Union High,Riverside,610,150,19,18,18,19,44,29.33
695,Heritage High,Liberty Union High,Contra Costa,574,112,26,25,24,25,87,77.68
696,Heritage Peak Charter,Twin Rivers Unified,Sacramento,107,0,0,0,0,0,0,0.0
697,Herlong High,Fort Sage Unified,Lassen,15,0,0,0,0,0,0,0.0
698,Hesperia High,Hesperia Unified,San Bernardino,445,40,20,18,18,18,9,22.5
699,High Desert Premier Academy,Apple Valley Unified,San Bernardino,64,0,0,0,0,0,0,0.0
700,High Tech High,San Diego Unified,San Diego,126,25,25,23,22,23,15,60.0
701,High Tech High Chula Vista,SBC - High Tech High,San Diego,147,16,22,19,19,19,6,37.5
702,High Tech High International,San Diego Unified,San Diego,98,22,22,21,20,19,10,45.45
