,school,district,county,enroll_12,num_takers_12,avg_score_read,avg_score_eng,avg_score_math,avg_score_sci,num_above_benchmark,percent_above_benchmark
184,Buena Park High,Fullerton Joint Union High,Orange,479,35,22,20,21,22,18,51.43
185,Buhach Colony High,Merced Union High,Merced,412,64,21,19,19,20,21,32.81
186,Bullard High,Fresno Unified,Fresno,518,24,21,20,22,21,12,50.0
187,Burbank High,Burbank Unified,Los Angeles,586,94,25,25,25,24,76,80.85
188,Burbank Unified Independent Learning Academy (BUILA),Burbank Unified,Los Angeles,29,1,7,7,7,7,7,7.0
189,Burlingame High,San Mateo Union High,San Mateo,401,131,27,27,27,26,110,83.97
190,Burney Junior-Senior High,Fall River Joint Unified,Shasta,31,9,7,7,7,7,7,7.0
191,Burroughs High,Sierra Sands Unified,Kern,331,15,27,26,27,26,14,93.33
192,Burroughs High,Burbank Unified,Los Angeles,584,81,26,26,24,24,63,77.78
193,Burton (Phillip and Sala) Academic High,San Francisco Unified,San Francisco,248,50,20,20,21,20,25,50.0
194,Butte Valley High,Butte Valley Unified,Siskiyou,18,0,0,0,0,0,0,0.0
195,Butterfield Charter,Porterville Unified,Tulare,144,0,0,0,0,0,0,0.0
196,C. K. McClatchy High,Sacramento City Unified,Sacramento,504,74,27,25,23,24,57,77.03
197,Cabrillo High,Lompoc Unified,Santa Barbara,280,27,26,24,24,25,22,81.48
198,Cabrillo High,Long Beach Unified,Los Angeles,531,52,18,17,18,17,10,19.23
199,Cajon High,San Bernardino City Unified,San Bernardino,631,100,21,19,19,20,36,36.0
200,Calabasas High,Las Virgenes Unified,Los Angeles,524,182,27,28,25,25,155,85.16
201,Calaveras High,Calaveras Unified,Calaveras,189,19,25,22,24,23,16,84.21
202,Calaveras Unified Alternative-Sierra Hills Education Center,Calaveras Unified,Calaveras,15,0,0,0,0,0,0,0.0
203,Calero High,East Side Union High,Santa Clara,257,2,7,7,7,7,7,7.0
204,Calexico High,Calexico Unified,Imperial,761,90,20,19,21,20,35,38.89
205,California Academy of Mathematics and Science,Long Beach Unified,Los Angeles,164,65,26,27,27,25,58,89.23
206,California Academy of Sports Science Fresno,Raisin City Elementary,Fresno,15,0,0,0,0,0,0,0.0
207,California City High,Mojave Unified,Kern,107,4,7,7,7,7,7,7.0
208,California Connections Academy @ North Bay,Middletown Unified,Lake,31,0,0,0,0,0,0,0.0
209,California Connections Academy @ Ripon,Ripon Unified,San Joaquin,206,9,7,7,7,7,7,7.0
210,California Connections Academy Southern California,Capistrano Unified,Orange,618,30,25,25,23,24,23,76.67
211,California Connections Academy@Central,Alpaugh Unified,Tulare,56,1,7,7,7,7,7,7.0
212,California Heritage Youthbuild Academy II,Trinity County Office of Education,Trinity,36,0,0,0,0,0,0,0.0
213,California High,San Ramon Valley Unified,Contra Costa,648,203,27,26,26,26,178,87.68
214,California High,Whittier Union High,Los Angeles,670,58,21,20,20,20,24,41.38
215,California Military Institute,Perris Union High,Riverside,109,8,7,7,7,7,7,7.0
216,California Pacific Charter - San Diego,Warner Unified,San Diego,108,1,7,7,7,7,7,7.0
217,California Prep Sutter 8-12,Meridian Elementary,Sutter,40,0,0,0,0,0,0,0.0
218,California Preparatory Academy,Capistrano Unified,Orange,68,3,7,7,7,7,7,7.0
